Silpi Köyünde	НАРСПИ
Huşĭlkalı güvey de	Хушӑлкасен мӑн кӗру
Şiirlerini söyler	Хӑй такмакне вӑл калать
Elindeki şarabı	Хӑй аллинчи сӑрана
Döküp ayak vuruyor	Тӑка тӑка çаптарать
Tek durmaz kara atı	Хура лаша тӗк тӑмасть
Güveyi çok istiyor	Çӗнӗ кӗрў çунтарать
Yeni güvey yanında	Çӗнӗ кӗрў çумӗнче
Yedi at dans ediyor	Çичӗ юланут ташлать
Köyü yıkacak gibi	Пӗтӗм яла çӗмӗрсе
Bağırıp ant içiyor	Çӑвap карса антӑхать
Yeni kapı altından	Çӗнӗ хапха айӗнчен
Bitmez giren araba	Кӗрсе пӗтмест урапа
Güvey kapıyı çalan	Хапха трри шатлатать
Vurarak kırbacıyla	Саламатпа çaпyпa
İyi dünür evinde	Ырӑ евӗчӗ килӗнче
Büyük düğün yapıldı	Туйне турӗу ытлашши
Ertesi gün sokakta	Тепӗр кунне урамра
Vîy killi de yapıldı	Турӗç ялта вӑй килли
Üç gün düğün yaptılar	Турӗç туя виçӗ кун
Huşĭlkalı konuklar	Хушӑлкари хӑтасем
Fakat öbür gün gidiş	Анчах кайма тепӗр кун
Vakti diyor  konuklar	Bӑxӑт теççӗ хӑнасем
Düğün alayı kalkmış	рçын туйӗ пуханать
Huşĭlka’ya gidiyor	Хушалкана каяс тет
Orada da düğün var	Кунта туя турӑмӑр
Şimdi gidelim  diyor	Ӗнтӗ киле тарас тет
Etmeyiniz acele	Ан васкӑр ха хӑтасем
Gidersiniz nasılsa	Тепӗр киле каяр ха
Gidinceye dek haydi	Халех киле кайиччен
Eğlenelim iyice	Туя шепрех тӑвар  ха
Ve sonra bir kez daha	Татах тепӗр тапхӑрне
Eğlendiler iştahla	Туйне турӗç çунтарса
Sonunda dünürlerde	Юлашкинчен хӑтасен
Güç kalmadı oyuna	Халӗ пӗтрӗ туй туса
Erkek tarafı hazır	Арçын туйӗ пухӑнса
Artık eve gidiyor	Килне кайма хускалчӗ
Uğurlamak için de	Каян туя ӑсатма
Bütün köy toplanıyor	Пӗтӗм Силпи пухӑнчӗ
Mezarlığın yanında	Аслӑ масар тӗлӗнче
Hazır düğün atları	Туй лашисем Tӑpaççӗ
Uğurlamak için de	Хӗрин туйне ӑсатма
Gidiyor anne baba	Ашшӗ амӑш nЫpaççӗ
Çevredeki köylüler	Туйӗ тавра ялйышсем
Kıpırdaşıp duruyor	Кӗпӗртетсе тӑраççӗ
Yaşlıları anarak	Ваттисене асӑнсан
Narspiyi yol ediyor	Хӗр кайнине сӑнаççӗ
Dertli Setner orada	Чирлӗ Сетнер çавӑнтах
Duruyor annesiyle	Тӑрать хӑйӗн амӑшпе
Sevgilisi Narspiyi	Чун савнине Нарспине
Arıyor gözleriyle	Шырать чирлӗ куçӗпе
Miheterle karısı	Михетерпе карчӑкки
Narspiyi kutsadılar	Пехиллерӗç xӑй хӗрне
Ağlayıp tüm dostları	Мӗнпур тантӑша йӗртсе
Yaşlarını döktüler	Тӑкрӗç ӑшӑ куççӗльне
Tek bir söz bile kıza	Савнӑ хӗрне сӑмах та
Demediler utançtan	Каламарӗç намӑсшӑн
Setner ile ormana	Сетнерпеле вӑрмана
Kaçıp gittiklerinden	Намӑс туса тарнӑшӑн
Kutsama da bitince	Пехиллесен мӗн тусан
Alay hareket etti	Кайрӗ туйӗ хускалса
Setnere doğru bakıp	Сетнер çине пӑхрӗ те
Narspi ağlayıp gitti	Нарспи кайрӗ макӑрса
Alay uzaklaşınca	Туй кайсассӑн тахçанччен
Çınladı kara orman	Янтӑрарӗ сӗм вӑрман
Herkes döndü evine	Ялйыш утрӗ килнелле
Düğün de erdi sona	Туйӗ куçран çухалсан
Annesiyle Setner de	Амӑшӗпе Сетнер те
Eve yürüdü üzgün	Килне утрӗç хуйхӑрса
Onu sevgilisinden	Чун савнинчен ӗмӗрех
Ayırmışlardı bugün	Ячӗç ӑна уйӑрса
Ey hayat  ey hayatım	пурӑнӑç пурӑнӑç
Ölüm kaldı geriye	Вилме анчах юлчӗ çав
Ey hayat  Narspi artık	пурӑнӑç Нарспи те
Gitti yabancı ele	Çичӗ юта кайрӗ çав
Onsuz ben ne yaparım	Унсӗр пуçне мӗн тӑвас
Şu talihsiz halimle	Арӑскалсӑр пу çӑмпа
Nerelere varırım	Ӑçтa кайса кӗрес ха
Şu dertli yüreğimle	Хамӑн усал хуйхӑмпа
Narspi gitti yad ele	Нарспи кайрӗ ют яла
Setner gitti evine	Сетнер утрӗ хӑй килне
İki can da sevmiş can	Икӗ чун та савнӑ чун
Yenildiler düşmana	Çӗнеймерӗç Тӑшманне
Bu iki sevgiliyi	Икӗ савни тарнине
Saklayamadı orman	Хуплаймарӗ сӗм вӑрман
Sarı kızı  Narspiyi	Сарӑ хӗре Нарспие
Alır almaz Tĭhtaman	Илчӗ илчех Тӑхтаман
Kalakaldı çaresiz	Тӑрса юлчӗ кӑлӑхах
Setner  o çok sevdiği	Сетнер çавтер чун савни
Tanrı yazmış mutlaka	Турӑ çЫpни axӑpax
Böyle imiş bu dünya	Çaплa тӑp çaв самани
Köyde onlar hakkında	Ялта нумай ун çинчен
Şöyle böyle dediler	Урлӑ пирлӗ калаçрӗç
Çok akıllılar bile	Темтер ӑслӑ çЫнceм те
Bunu çözemediler	Кутне nyçнe тупмарӗç
Narspi gitti yad ele	Нарспи кайрӗ ют çӗре
Setner çaresiz kaldı	Сетнер юлчӗ кӑлӑхах
Baba üzdü kızını	Ашшӗ çирӗ хӑй хӗрнех
Dostlar da dostlarını	Тӑван çирӗ тӑванах
Huşĭlkada	Хушӑлкара
Huşĭlkada var düğün	Хушӑлкара туй иккен
Çok iyi de bir düğün	Туйӗ ытла шеп иккен
Böyle düğün yapıyor	Шур сухаллӑ Тӑхтаман
Ak sakallı Tĭhtaman	Туйне тӑвать тет иккен
İyi güvey Tĭhtaman	Чипер каччӑ Тӑхтаман
Silpi kızını sarmış	Силпи хӗрне çаклатнӑ
Böyle güzel bir çifte	Çaвтep аван мӑшӑра
Çok güzel düğün yapmış	Урӑм  çypӑм туй лартнӑ
Dansedip oynuyorlar	Туй тӑваççӗ ташласа
Güveyin genç dostları	Çaмpӑк пуса каччисем
Türküler söylemekten	Туй юррисем юрласа
Yorulmuş ağızları	Ывӑнаççӗ çӑварсем
Akşam Silpi köyünden	Ӗнер Силпи ялӗнчен
Alay geldi dönerek	Туйӗ килчӗ таврӑнса
Bugün gelin alayı	Паян кӗру хӗр туйне
Bekleniyor coşarak	Кӗтет хӗру туй туса
Kız tarafı gelince	Паян хӗр туйӗ килсен
Gece odaya koymalı	Kaçna хӗве хупмалла
Yarın erken kalkmalı	Ыран ирех тӑмалла
Kızdan kadın yapmalı	Хӗртен арӑм тумалла
Büyük bir köy Huşĭlka	Аслӑ ял та Хушӑлка
İki dağ arasında	Икӗ тӗван хушшинче
Düğün yapan Tĭhtaman	Туйне туса Тӑхтаман
Oturuyor masada	Ларать сӗтел хушшинче
Türlü yemek altında	Тӗрлӗ апат айӗнче
Masalar eğiliyor	Çӑкa сӗтел авӑн ать
Sarhoş güvey başında	Ўсӗр кӗрў пуçӗнче
Dünya fır fır dönüyor	Тӗнче вӑр  вӑр çаврӑнать
Güneş parlar dışarda	Тулта хӗвел çутатать
Güneye salınarak	Кӑнтӑрлана сулӑнать
Başı düşer içkiden	Кӗру пуçӗ ўсӗрпе
Aşağı asılarak	Аялалла усӑнать
Bozkırda bir bıldırcın	Çeçeнxиpтe путене
Zaman zaman ötüyor	Вӑхӑт вӑхӑт вӑл юрлать
Alay gecikti diye	Туй килмест и ха тесе
Güvey bezgin duruyor	Текех кӗру йӗтетет
Giydiği ak gömleğin	Кӗру çинҷи шурӑ кӗпен
Eteği fır dönüyor	Арки вӑр  вӑр тӑватъ çке
Alayı bekler iken	Туя кӗтсе ватӑ пуçӑн
Canı pır pır ediyor	Чунӗ вӑр  вӑр тӑвать çке
Çıngır çıngır çıngırak	Шӑнкӑр шӑнкӑр шӑнкӑрав
Çıngırdıyor yol boyu	Шӑнкӑртатать çулпала
Düğün alayı gelir	Хӗр туй килет çӗмӗрсе
Sokak gürültü dolu	Урам тӑрӑх ялпала
Tepelikli on kadın	Вунӑ арӑм хушпупа
Gelin arabasında	Сӑран кўме çийӗнче
Kırk üç tane araba	Хӗрӗх виçӗ урапа
Dizilmiş arkasında	Сӑран кўме хыçӗнче
Yedi yerde sokakta	Çичӗ çӗрте урамра
Durdu düğün alayı	Чарӗнчӗç туй çыннисем
Şarabıyla karşıda	Хирӗç тухрӗç сӑрапа
Eş dostlar  Huşĭlkalı	Хушӑлкари тантӑшсем
Türküyle giriyorlar	Юрлаççӗ те кӗреççӗ
Güveyin kapısından	Ырӑ кӗрў хапхинчен
Yiyorlar içiyorlar	Ӗçеççӗ те çиеççӗ
Uzun yolun ardından	Инçe çулсем хыçӗнчен
Daha öğlen olmamış	Кӑнтӑрла та çитмен ха
Geceye çok zaman var	KaçҷeН вӑхӑт нумай ха
Düğünü yapmak için	Kaç пуличчен туй тума
Bize de çok zaman var	Пире вӑхӑт нумай ха
Şıv şur puśi başlayıp	Шыв шур пуçӗ пуçласан
Akşama dek oynandı	Тӗттӗмчченех сикрӗç те
Tĭhtamanla Narspi kız	Тахтаманпа Нарспие
Odaya kapatıldı	Хӗве хупрӗç кӗлете
Akıllı insanlar da	Аслӑ Çынceм уçӑпах
Kilitledi kapıyı	Питӗрчӗç туй кӗлетне
Gizlice güle güle	Йӑл йӑл кула кула çeç
Gittiler evlerine	Кӗрсе кайрӗç пўртнелле
İşte bir delikanlı	Акӑ каччӑ пӗр каччӑ
Çevrede dolanıyor	Кӗлет тавра явӗнать
Dinleyip gözlemeye	Те итлеме те пӑхма
Uygun bir yer arıyor	Пушӑ вырӑн вӑл шырать
Dört beş küçücük çocuk	Тӑват пилӗк ача пӑча
Dolaşıyor orada	Явӑна ççӗ çaвӑнтах
Be  utanmaz çocuklar	Ай намӑссӑр ача пӑча
Ne işiniz var orda	Мӗн кирлиех пур унта
Bak işte dinliyorlar	Анчах акӑ итлеççӗ
Duyuluyor olmalı	Илтӗнет те пулмалла
İşte sustu çocuklar	Авусалсем лӑпланчӗç
Dinle  gürültü yapma	Хӗр кал аçатъ ан шавла
İçerde Narspi bir şey	Шалта Нарспи темӗскер
Söyledi Tĭhtamana	Тӑттамана каларӗ
Alçak sesle konuştu	Анчах хуллен сӑмахне
Hiç bir şey duyulmadı	Пӗртте илтсе пулм арӗ
Narspi bil ki  dizginin	Асту Нарспи йӗвену
Artık benim elim de	Ман алӑра малашне
Dedi sertçe Tĭhtaman	Терӗ хытах Тӑхтаман
Kapılıp öfkesine	Чараймасӑр çиллине
Düğünüm yeni bitti	Туйна анчах ӑсатам
Beni tanıyacaksın	Унта мана пӗлӗн  çкe
Ne olur bilmiyorsun	Мӗн пуласне пӗлме çук
Gözünle göreceksin	Ху курасне курӑн  çкe
Başka bir ses çıkmadı	Урӑх нимӗн илтӗнмест
Tek söz işitilmedi	Пӗр сӑмах та чӗнмерӗç
Dinleyenler bekledi	Итлекенсем кӗтсен те
Hiçbir şey duyulmadı	Пӗр сӑмах та илтмерӗç
Çoluk çocuk oradan	Ачи пӑчи çaвӑнтах
Evlerine koştular	Ашшӗ килне чупаççӗ
Duydukları sözleri	Илтни çинчен çaв хутрах
Bütün köye yaydılar	Ялта сӑмах сар аççӗ
Bunu duyan sarı genç	Илтен  тӑран cap каччӑṳ
Ormana dek yürüdü	Вӑрманалла уттарчӗ
İşittiği sözleri	Хӑлха илтнӗ сӑмаха
Yüreğinde gizledi	Хӑй ӑшӗнче пытарчӗ
Öfkeli gözlerinden	Ун çилӗллӗ куçӗнчен
Sanki ateşler aktı	Йӑлтӑр  ялтӑр вут кайрӗ
Giren çıkan köylüler	Кӗрен тухан ялти çын
Hiç yüzüne bakmadı	Каччӑ çине пӑхмарӗ
Yalnız  meşe  ormanda	Юман анчах вӑрманта
Bir dost gibi davrandı	Хӑй кўршине систерчӗ
Ormana giren bu genç	Çaв вӑрмана кӗнӗ çын
Kardeşimiz Setnerdi	Пирӗн тӑван Сетнерчче
Evde  masa üstünde	Пўртре сӗтел çийӗнче
Çorba buğulanıyor	Пӑтӑ пӑсне кӑларать
Yeni güvey Tĭhtaman	Çӗнӗ кӗрў Тӑхтаман
Misafir ağırlıyor	Хӑнасене ӑсатать
İyi güvey Tĭhtaman	Ырӑ кӗрў Тӑхтаман
Düğün çorbası ile	Туй пӑттипе сӑйласа
Herkesi selamlıyor	Туй халӑхне nyç таять
Şöyle sözler söylüyor	Çariлa сӑмах каласа
Alınmayın konuklar	Ан ўпкелӗр хӑтасем
Çokça değil ikramım	Сӑйӑм питех нумай мар
Yiyin için can dostlar	Ӗçӗр  çийӗр тӑвансем
Hep birlikte olalım	Ӗмӗр пӗрле пурӑнар
Konuklar sarhoşlukla	Виле ўсӗр хӑтасем
Çok zor konuşuyorlar	Урӑм  çypӑм кӗрлеççӗ
Sarhoş olsalar bile	Bиле ўсӗр пулсан та
Sözünü biliyorlar	Мӗн каласне пӗлеççӗ
Güveyimiz Tĭhtaman	Кӗрўçӗм Тӑхтаман
Sana kırgın değiliz	Сана ўпкев çyк пиртен
Kızımıza iyi bak	Пирӗн хӗре хытӑ пӑх
Öm rünün sonuna dek	Тату пулӑр виличчен
Avlu içinde atlar	Карташӗнче лашасем
Kıpır kıpır kıpraşır	Тӑраççӗ   çкe ташласа
Çıkıp giden konuklar	Тухса кайрӗç хӑтасем
Güzel türküler söyler	Ырӑ юрӑ юрласа
Gel gidelim yol boyu	Атьӑр каяр çулпала
Kupamız balla dolu	Курка тулли пылпала
Arabalar ardından	Ураписем хыçӗнчен
Toz yükseldi yol boyu	Тусан кайрӗ çулпала
Çıngırakları çınlar	Ав шӑнкӑрав янӑрать
Silpiye doğru koşar	Силпиелле чуптарать
Atlar başını eğmiş	Лаши чупать nyç ухса
Sarhoşları kovalar	Ўсӗр xyçи хӑвалать
Düğün alayı artık	Туй п ӗтрӗ те туй каять
Düz yolda koşturuyor	Такӑр çулпа чуптарать
Bir yaşlı rastgelince	Пӗрер ватти тӗл пулсан
İyi günler diliyor	Тавси тавси кӑшк ӑрать
Giden alayın sesi	Каян туйӑн сассине
Narspinin kulağında	Нарспи юлчӗ итлесе
Uzakta  uzaklarda	Taçтa тaçтa инçeтpe
Tozlar yükselir göğe	Тусан кайрӗ çӗкленсе
Śilmik Geçince	Çимӗk Иртсен
Geçti śimîk ve düğün	Иртрӗ çимӗк иртрӗ туй
Geçti düğün neşesi	Иртрӗ туйри савӑнӑç
Günler günleri izler	Кайрӗ пӗр пек тӑсӑлса
Hayat sürer de gider	Кунран кунах пурӑнӑç
Tarlada  saban ile	Хирте ака айӗнче
Çayır yer yer kesilir	Çӗрӗм лӑп лӑп касӑлать 
Üzüntüyle  kederle	Усал хуйхӑ суйхӑран
Narspinin içi erir	Нарспи чунӗ касӑлать
Tırpanların altında	Хирте çaвa айӗнче
Taze otlar devrilir	Курӑк вӑш ваш йӑванать
Üzüntüden  kederden	Усал хуйхӑ суйхӑран
Kızın başı eğilir	Нарспи пуçӗ усӑнать
Günden güne dünyayı	Куллен кунах тӗнчене
Gün ışığı yakıyor	Хӗвел хӗртнӗçӗм хӗртет
Günden güne üzüntü	Хуйхӑ суйхӑ кунран кун
Narspiyi kemiriyor	Нарспи чӗрине çиет
Her gün  her gün kamçı da	Куллен кунах саламат
İner zaten duvardan	Анать ӗçке патаран
İşte böyle tutuyor	Хытӑ тытать пулмалла
Karısını Tĭhtaman	Хӑй арӑмне Тӑхтаман
Güzel çocuk Sentti var	Чипер ача Сентти пур
Koşup oynar sokakta	Чупса çўpeт урамра
Sopasını at yapıp	Кӗвентине утланса
Atlar sonar üstüne	Ача вы лять лаш алла
Uzun sokak boyunca	Аслӑ урам тӑршшӗпе
Toz kaldırır havaya	Чиксӗр тусан кӑларать
Çingene gibi kara	Хура чикан пек хура
Döner eve akşama	Kaçna килне таврӑнать
Güzel çocuk Sentti var	Чипер ача Сенти пур
Koşup gelir atıyla	Чупса килет лашипе
Küçük diliyle öper	Хӑйӗн пӗчӗк чӗлхипе
Yengesini sevgiyle	Пакӑлтатать инкӗшпе
Yeni gelin Narspi kız	Çӗнӗ çын та Нарспи кин 
Sürekli yaş döküyor	Пӗрмаях вӑл хуйхӑрать
Kaynının çocuğunu	Пӑяхӑшин ачине
Tek Senttiyi seviyor	Сенттие çeç юратать
Yeni gelin Narspi kız	Çӗнӗ çын та Нарспи кин
Sürekli yaş döküyor	Пӗрмаях вӑл хуйхӑрать
Sentti ile konuşup	Сенттипе çeç калаçса
Kendini avutuyor	Хӑй хуйхине пусарать
Böyle güzel çocuğa	Çaвтep ырӑ ачана
Tanrı can vermiş işte	Турӑ чунне панӑ çae
Gül  zıpla  oyna diye	Кулса сиксе выляма
Kuş canı vermiş işte	Кайӗк чунӗ янӑ çaв
Yedi yaşında çocuk	Çичӗ çулхи ачара
Çuvaş canı taşıyor	Чӑваш чунӗ ларать çaв
Minik gözü ağlasa	Пӗчӗк куçӗ йӗрсен те
Dudakları gülüyor	Йӑваш тути кулать çaв
Güzel çocuk Sentti var	Чипер ача Сентти пур
Narspiye atılıyor	Инкӗш патне ӑнтӑлать
Minicik dili ile	Хӑйӑн пӗчӗк чӗлхипе
Yengeyi avutuyor	Инкӗшне вӑл йӑпатать
Ağlama yengeciğim	Ан йӗр инкем ан йӗрсем
M endille sil gözünü	Тутӑрупа шӑл кyçнa
Üzülme yengeciğim	Ан хуйхӑрсам  инкеçӗм
Kovala kederini	Хӑваласам хуйхӑна
İyi güvey Tĭhtaman	Ырӑ кӗру Тӑхтаман
Düğünü anımsıyor	Туй кӗлетне астӑвать
Her gün  her gün eşini	Куллен кунах арӑмне
Kırbaçla inletiyor	Саламатпа кастарать
Zavallı kız katlanır	Мӗскӗн арӑмӗ тўсет
Sessizce acılara	Асапсене чӗнмесӗр
Aptal kocası döver	Ухмах упӑшка хӗнет
Aldırmadan sonuna	Мӗн пуласне пӗлмесӗр
Bir gün geldi bir konuk	Пӗрре пӗр Çын килчӗ те
Tĭhtamanla konuştu	Тӑхта анпа калаçрӗç
Narspi evde değilken	Нарспи пўртре çук чухне
Olanları anlattı	Пӑшӑл пӑшӑл калаçрӗç
Narspi geldi şarapla	Нарспи кӗчӗ сӗрапа
İkram etti konuğa	Леш хӑнана ӗçтерет
Kalkıp gidince konuk	Хӑна тухса кайсанах
Sıra geldi kırbaca	Саламачӗ вӗрентет
Meğerse sen kız iken	Эсӗ апла хӗр иккен
Meğer sen Setner ile	Эсӗ апла Сетнерпе
Kaçmışsın ha ormana	Тарнӑ мӗн ха вӑрмана
Düğün yapılan yerden	Туйна тунӑ çӗртенех
Döve döve Tĭhtaman	Хӗнет хӗнет Тӑхтаман
Türlü eziyet eder	Тӗрлӗ асап кӑтартать
İnsanların dilinde	Ялти çынceн хушшинче
Dedikodular döner	Текех сӑмах сарӑлать
Bir söz de şöyle işte	Çaпли кaпли çавӑ çaв
Böylesi çok dünyada	Ун пек нумай тӗнчере
Çok kötü şeyler olur	Чылай усал ӗç пулать
Gizli yerde  gecede	Вӑрттӑн çӗрте тӗттӗмре
Baba anne kızını	Атте анне хӑй хӗрне
Severek büyütür de	Юратса çeç ўстерет
Genç kızla evlenince	Хӗртен арӑм пулсассӑн
Kıskanır yaşlı koca	Ват упӑшка кўлешет
Buldu zengin kocayı	Тупрӗ пуян упӑшка
Aile kızlarına	Атте анне хӑй хӗрне
Ama nedir yararı	Анчах унта мӗн усси
Sevgi yoksa arada	Юратмасан пӗр пӗрне
Sevgi ile dostlukla	Тату ырӑ килӗшсе
İnsanlar birleşince	Иккӗш пӗрле пурӑнсан
Yüz kat daha talihli	Çӗp хут ытла телейлӗ
Yoksul insan zenginden	Юрлӑ Çын та пуянран
Dövüp dövüp Tĭhtaman	Хӗне хӗне  Тӑхтаман
Çıkar onun canını	Чунне кӑлар унӑнне
Eziyet et Tĭhtaman	Асаплантар Тӑхтаман
Sanki köpekmiş gibi	Хурсам йытӑ вырӑнне
Döv sürekli Tĭhtaman	Хӗне хӗне Тӑхтаман
O senden genç kalmasın	Санран çамрӑк ан култӑр
Eziyet et Tĭhtaman	Асаплантар Тӑхтаман
Hemencecik yaşlansın	Нарспи часрах ватӑлтӑр
Ancak sen de ardından	Анчах кайран хӑвӑнах
Pişmanlık duymayasın	Ўкӗнмелле анпултӑр
Döv sürekli Tĭhtaman	Хӗне хӗне Тӑхтаман
O senden genç kalmasın	Санран çамрӑк ан култӑр
Geçip gitti üç hafta	Иртсе кайрӗ bнç эрне
Bayramın arkasından	Çимӗк эрни хыçӗнчен
Koca eziyetini	Ват упӑшка хӗснине
Narspi çekti durmadan	Нарспи туcрӗ çaв анччен
Fakat sonraki hafta	Анчах тепӗр эрнинче
Parlak  güzel bir gece	Пӗрре уяр ырӑ кaç
Bekleyin  söylenecek	Чим ха кӑна калама
Sırası geldiğinde	Вӑхӑтсӑрах юрамасть
Narspi İşi	Нарспи Ӗçӗ
Güneş doğar  yükselir	Хӗвел тухать улӑхать
Yüce dağlar üstüne	Çўnӗ тусем тӑррине
Sıcağını gönderir	Хӑй çуттипе ӑшӑтать
Uzak uzak yerlere	Taçти тaçти çӗрсене
Yazın bu güzel günü	Çaк çуллахи ырӑ кун
Huşĭlkayı da sarar	Хушӑлкана та савать
Dünyada tüm canlılar	Пур тӗнчери чӗрӗ чун
Danseder  oynar  zıplar	Ташлать сикет савӑнать
Güzel şarkılar söyler	Ячӗç юрӑ юрласа
Ormanda türlü kuşlar	Сӗм вӑрманти кайӑксем
Kuğu gibi salınıp	Акӑшсем пек ярӑнса
İndiler suya kızlar	Анчӗç шыва cap хӗрсем
Sadece beyaz evden	Анчах акӑ шурӑ пўрт
Bir çıt bile çıkmıyor	Пӗр сасӑ та илтӗнмест
Beyaz evdeki gelin	Шурӑ пўртре çӗнӗ çын
Ağlayıp oturuyor	Ларать nyçнe çӗклемест
Erkenden yiyip  içip	Ирех хырӑм тӑрантса
İşe gitti Tĭhtaman	Кайрӗ хире Тӑхтаман
Başı önünde eğik	Пyçнe чиксе хуйхӑрса
Duruyor Narspi gelin	Ларать арӑмӗ паян
Zorla gelin ettiler	Арӑм пултӑм ирӗксӗр
Anne baba sözüyle	Атте анне хушнипе
Fakat garip kızınız	Анчах хӗрӗр мӗскӗнӗр
İyi değil eşiyle	Ырӑ курмасть каччипе
Acımadan bu kıza	Хӗрхенмесӗр хӗрӗре
Yedi kat yabancıya	Çичӗ ютӑн аллине
Koyup yaban ellere	Çичӗ юта ют çӗре
Attınız zavallıyı	Парса ятӑр мӗскӗне
İşte şimdi kızınız	Халӗ хӗрӗр мӗскӗнӗр
Acı ile yaşıyor	Асап курса пурӑнать
Yaşlı kocası onu	Ӑна ватӑ упӑшки
Köpek gibi dövüyor	Йытӑ вырӑнне хурать
Niçin Setnerden beni	Мӗншӗн мана савнинчен
Ayırıp gönderdiniz	Çanлах ятӑр уйӑрса
Sanki neden gelmeden	Мӗншӗн кунта киличчен
Öldürmedim kendimi	Çимepӗм ши хам nyça
Kötü düşmanla niçin	Мӗншӗн хаяр тӑшманпа
Birlikte olacağım	Ман пӗр çуртра пурӑнас
Katlanarak hayatı	Пӗтес мар ши пу çӑмпа
Nasıl sürdüreceğim	Епле тўссе пурӑнас
Evlendirdiler zorla	Качча пачӗç ирӗксӗр
Olmadı güzelliği	Пулмарӗ çкe ырлӑха
Anne baba aklıyla	Атте анне ӑссӑрри
Öğrendim kötülüğü	Ырлӑха мар хурлӑха
Evlendirdiler zorla	Качча пачӗç ирӗксӗр
Ah mutluluk imkansız	Савӑнӑç çyк ку тӗнчен
Anne baba hatası	Атте анне ӑссӑртан
Sevdiğim kaldı yalnız	Савни юлчӗ пӗр  пӗччен
Evlendirdiler zorla	Качча пачӗç ирӗксӗр
Adım kötüye çıktı	Ятӑм çӗрчӗ Taxçaнax
Anne baba hatası	Атте анне ӑссӑртан
Geride acı kaldı	Пулчӗ асапӑм анчах
Evlendirdiler zorla	Качча пачӗç ирӗксӗр
Hayat acı ve keder	Манӑн пурӑнӑç хӗн  хур
Anne baba hatası	Атте анне ӑссӑртан
Yaşamak neye yarar	Капла пурӑнса мӗн пур
Evlendirdiler zorla	Качча пачӗç ирӗксӗр
Ah mutluluk imkansız	Пулмарӗ çкe ырлӑха
Anne baba hatası	Атте анне ӑссӑрри
Sevdiğim kaldı yalnız	Ырлӑха мар хурлӑха
Fakat bir sevgilim var	Анчах манӑн савни пур
Kurtarır mı o beni	Çӑлaймӗ шим вӑл мана
Onun güçlü elleri	Унӑн вӑйлӑ аллисем
Yok eder mi düşmanı	Пӗтермӗç шим тӑшмана
Yok  böyle öleceksem	Çyк пу çӑма çийиччен
Düşmanı yok edeyim	Тӑшманӗма пӗтерем
Ben acı çekeceksem	Асапланса тўсиччен
Kocamı öldüreyim	Тӑхтамана вӗлерем
Fakat gücüm yeter mi	Анчах вӑйӑм çитӗ ши
Nasıl kurtulacağım	Епле кунтан çӗлӗнас
Tanrım bana yardım et	Эй пўлӗхçӗм пулӑшсам
Şimdi ne yapacağım	Чунӑм çунать мӗн тӑвас
Ya öleyim  ya ölsün	Пӗтсен пӗтем пӗт тӑшман
Çok uzun değil ömür	Пурӑнӑçӑм ырах мар
Arseniğim sen bugün	Наркӑмӑшӑм эс паян
Görevini yapıver	Хӑвӑн ӗçне туса пар
Böyle bu gün evinde	Çaплa паян пўртӗнче
Narspi zavallı yasta	Нарспи мӗскӗн хурланать
Sıkkın canı  dönmede	Чунӗ вӗркет пуçӗнче
Kötü fikirler  başta	Усал шухӑш хускалать
Güneş bir alev gibi	Вут пек хӗвел выляса
Tepeye yükseliyor	Çўл тўпене хӑпарать
Yavaş yavaş salınıp	Хуллен хуллен ярӑнса
Güneye yöneliyor	Кӑнтӑрлана сулӑнать
Dışarda dünya mutlu	Тулта тӗнче хӗпӗртет
Dışarda dünya parlak	Тулта тӗнче ялтӑрать
Narspi evde ağlıyor	Нарспи пўртӗнче йӗрет
Yüreği yarılıyor	Унӑн чӗри çурӑлать
Sentti zıplayıp gelir	Сентти килет сиктерсе
Sopadan atı ile	Кӗвентине утланса
Yengesine atılır	Инкӗш патне çӗмӗрсе
Bağırtı çağırtıyla	Кӗрсе кайрӗ ахӑрса
Vurup kahraman ata	Çanaть паттӑр лашипе
Elindeki çubukla	Хӑй аллинчи хуллипе
Ansızın yengesini	Ӑнсӑртранах инкӗшне
Aldı ayak altına	Tanca илет урипе
Fakat o oynamaya	Анчах вӑл та выляма
Korktu bugün yengeyle	Аптӑрарӗ инкӗшпе
Şaşırarak sokağa	Аптӑраса урама
Çıkıp gitti atıyla	Тухса кайрӗ лашине
Üfürür sarı gelin	Вӗрет сурать сарӑ кин
Çorbayı karıştırıp	Хӑй яшкине пӑтратса
Alevler yılan gibi	Хуран айӗ çӗлен пек
Yükseliyor kıvrılıp	Çynaть вучӗ явӑнса
Yetmiş deniz öteden	Çитмӗл тинӗс леш енчен
Gelir yaşlı Şapatan	Килет карчӑк Шапатан
Üfür  tükür çorbaya	Вӗр сур карчӑк яшкана
Ölsün kötü Tĭhtaman	Пӗттӗр усал Тӑхтаман
Altmış deniz adasında	Утмӑл тинӗс уттинче
Sıçrıyor bakır Pukan	Ларать сикет йӗс пукан
Sıçra da bakır Pukan	Сикех сикех йӗс пукан
Ölsün kötü Tĭhtaman	Пӗттӗр усал Тӑхтаман
Otuz dağın üstünde	Вӑтӑр та пӗр ту çинче
Bakır kazanda piş çorba	Йӗс хуранра пиç яшка
Bu çorbada piş yılan	Çaв яшкара пиç çӗлен
Yan cehennemde koca	Пиç тамӑкра упӑшка
